CONTAINER_NUMBER,TrailerID,IB_CARRIER,IB_CHASIS_NUM,IB_LICENSE_NUM,IB_RFID,OB_TRUCK_NUM,OB_LICENSE_NUM,OB_RFID,CONTAINER_LINE,CONTAINER_SIZE,PLANT,BOOKING_NUMBER_INITIAL,BOOKING_NUMBER_FINAL,HEADER_ID,LINE_ID,ORDER_NUMBER,Line_Number,BOL_NUM,STATUS_CODE,STATUS_DESCRIPTION,EIT_DATE,EOS_DATE,LOS_DATE,LIT_DATE,LAY_DATE,LAP_DATE,LOV_DATE,LDC_DATE,LSC_DATE,DEP_DATE,CLOSE_DATE,LND_DATE,CREATED_BY,CREATION_DATE,LAST_UPDATED_BY,LAST_UPDATE_DATE,ORIGINATION_SITE,ORDER_NUMBER_INITIAL,HOLD_FLAG,DAMAGED_FLAG,COMMENTS,FacilityCode,
DRYU9215538,DRYU9215538,,,,,,,,,,,,,,,,,,1,Empty,,,,,,,,,,,,,,,,,,,,,,,
FANU3280489,FANU3280489, , ,,0,,,,HLCU,40_DRY_9.5,Intransit, , ,,,,,,LOV,Loaded On Vessel,02/18/2024 06:30:01,02/19/2024 11:18:28,,,,03/14/2024 13:02:00,03/14/2024 13:05:00,,,,,,,,,,Intransit,,,,,987,
TEST123456,TEST123456,,,,,,,,,,Edgar,,,,,,,,1,Empty,,02/23/2024 14:21:53,,,,,,,,,,,,,,,Edgar,,,,,151,
MSDU8298355,MSDU8298355,BHTF,500349,,381180747,,,,MSCU,40HC96,Edgar,MSCKAMIN,MSCKAMIN,1756124,2481444,5096798,502.1, ,LOS,Loaded On Site,,02/26/2024 10:03:34,03/14/2024 11:16:00,,,,,,,,,,,,,,Edgar,,,,,151,
TLLU6876764,TLLU6876764,,,,,,,,,,Gordon,,,,,,,,2,Loaded Outbound,02/23/2024 15:30:01,02/26/2024 11:12:47,,,,,,,,,,,,,,,Gordon,,,,,153,
SEKU6053779,SEKU6053779,BHTF,500390,,381196189,,,,HLCU,40HC96,Edgar,HLS334,HLS334,,,,,,2,Loaded Outbound,03/01/2024 12:30:00,03/01/2024 11:41:24,,,,,,,,,,,,,,,Edgar,,,,,151,
DAIU1750180,DAIU1750180,,,,,,,,,,Wrens ,,,,,,,,1,Empty,,03/02/2024 09:09:54,,,,,,,,,,,,,,,Wrens ,,,,,155,
TEST030414,TEST030414,,,,,,,,,,Intransit,,,,,,,,LIT,Loaded In-Transit,,03/04/2024 09:52:00,,,,,,,,,,,,,,,Intransit,,,,,987,
DRYU4194490,DRYU4194490,BHTF,421205,,381135634,,,,HDMU,40DR86,Wrens ,DALA55530400,DALA55530400,1773144,2474448,5098373,6.1, ,LOS,Loaded On Site,02/28/2024 10:30:00,03/02/2024 09:06:18,03/14/2024 11:20:00,,,,,,,,,,,,,,Wrens ,,,,,155,
TRHU5246296,TRHU5246296, , ,,0.3811,,,,OOLU,40_DRY_9.5,Intransit, , ,,,,,,LOV,Loaded On Vessel,01/09/2024 16:30:01,01/22/2024 17:43:31,,,,03/14/2024 12:07:00,03/14/2024 12:18:00,,,,,,,,,,Intransit,,,,,987,
